SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
O=Nc1cccc2c1[nH]/c(=[NH]\CCl)/[nH]2;29/000000007;InChI=1S/C8H8ClN4O/c9-4-10-8-11-5-2-1-3-6(13-14)7(5)12-8/h1-3,10-12H,4H2/b10-8-;C8H7N4OCl;210;1.09;4.21;1.17;14.80;-60
S[C@@H](c1ncncc1)/C=C/NC/C=C\Cc1nnsc1;29/000000157;InChI=1S/C13H15N5S2/c19-13(12-4-7-15-10-16-12)5-8-14-6-2-1-3-11-9-20-18-17-11/h1-2,4-5,7-10,13-14,19H,3,6H2/b2-1-,8-5+/t13-/m1/s1;C13H15N5S2;305;2.54;4.10;1.58;3.58;-190
O=Nc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\CC)/[nH]2;29/000000125;InChI=1S/C9H10N5O3/c1-2-10-9-11-5-3-4-6(13-15)8(14(16)17)7(5)12-9/h3-4,10-12H,2H2,1H3/b10-9-;C9H9N5O3;235;0.99;4.21;5.13;18.90;-60
O=Nc1c2c([nH]/c(=[NH]/CC)/[nH]2)ccc1CC;29/000000123;InChI=1S/C11H15N4O/c1-3-7-5-6-8-10(9(7)15-16)14-11(13-8)12-4-2/h5-6,12-14H,3-4H2,1-2H3/b12-11-;C11H14N4O;218;1.58;4.01;5.98;14.90;-120
O=Nc1c2c([nH]/c(=[NH]/CC)/[nH]2)ccc1CC;29/000000121;InChI=1S/C11H15N4O/c1-3-7-5-6-8-10(9(7)15-16)14-11(13-8)12-4-2/h5-6,12-14H,3-4H2,1-2H3/b12-11-;C11H14N4O;218;1.58;4.12;5.77;14.90;-120
Oc1cc(/C=C/CCNN)cc(c1I)O;29/000000042;InChI=1S/C10H13IN2O2/c11-10-8(14)5-7(6-9(10)15)3-1-2-4-13-12/h1,3,5-6,13-15H,2,4,12H2/b3-1+;C10H13N2O2I;320;1.94;4.02;2.54;3.58;-60
O=Nc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\CCl)/[nH]2;29/000000070;InChI=1S/C8H7ClN5O3/c9-3-10-8-11-4-1-2-5(13-15)7(14(16)17)6(4)12-8/h1-2,10-12H,3H2/b10-8-;C8H6N5O3Cl;255;0.98;4.27;5.29;20.00;-40
OC(=O)CC/[NH]=c\1/[nH]c2c([nH]1)c(N=O)c(cc2)CC;29/000000150;InChI=1S/C12H15N4O3/c1-2-7-3-4-8-11(10(7)16-19)15-12(14-8)13-6-5-9(17)18/h3-4,13-15H,2,5-6H2,1H3,(H,17,18)/b13-12-;C12H14N4O3;262;0.70;4.36;5.51;18.90;-120
Oc1cc(C=S)cc2c1[nH]/c(=[NH]\CC)/[nH]2;29/000000023;InChI=1S/C10H12N3OS/c1-2-11-10-12-7-3-6(5-15)4-8(14)9(7)13-10/h3-5,11-14H,2H2,1H3/b11-10-;C10H11N3OS;221;1.10;4.04;0.56;15.00;-60
Sc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\C(F)F)/[nH]2;29/000000049;InChI=1S/C8H7F2N4O2S/c9-7(10)13-8-11-3-1-2-4(17)6(14(15)16)5(3)12-8/h1-2,7,11-13,17H/b13-8-;C8H6N4O2SF2;260;1.99;4.46;5.89;22.00;-190
Oc1c(I)c(O)cc(c1)N(=O)=O;29/000000031;InChI=1S/C6H4INO4/c7-6-4(9)1-3(8(11)12)2-5(6)10/h1-2,9-10H;C6H4NO4I;281;2.17;4.11;3.30;1.23;0
O=Nc1cccc2c1[nH]/c(=[NH]\CCl)/[nH]2;29/000000012;InChI=1S/C8H8ClN4O/c9-4-10-8-11-5-2-1-3-6(13-14)7(5)12-8/h1-3,10-12H,4H2/b10-8-;C8H7N4OCl;210;1.09;4.08;1.92;14.80;-40
O=Nc1c2c([nH]/c(=[NH]/CCO)/[nH]2)ccc1CC;29/000000152;InChI=1S/C11H15N4O2/c1-2-7-3-4-8-10(9(7)15-17)14-11(13-8)12-5-6-16/h3-4,12-14,16H,2,5-6H2,1H3/b12-11-;C11H14N4O2;234;0.45;4.16;5.42;16.10;-80
OC(=O)c1cc(O)c(c(c1)O)CO;29/000000068;InChI=1S/C8H8O5/c9-3-5-6(10)1-4(8(12)13)2-7(5)11/h1-2,9-11H,3H2,(H,12,13);C8H8O5;184;0.01;4.05;2.75;1.11;0
[NH2]=c1[nH]c2c([nH]1)c(N(=O)=O)c(cc2)C;29/000000128;InChI=1S/C8H9N4O2/c1-4-2-3-5-6(7(4)12(13)14)11-8(9)10-5/h2-3,10-11H,9H2,1H3;C8H8N4O2;192;0.87;4.20;5.19;2.61;-60
O=Nc1cc2[nH]/c(=[NH]/C(F)F)/[nH]c2c(c1)N(=O)=O;29/000000052;InChI=1S/C8H6F2N5O3/c9-7(10)13-8-11-4-1-3(14-16)2-5(15(17)18)6(4)12-8/h1-2,7,11-13H/b13-8-;C8H5N5O3F2;257;1.15;4.20;2.95;23.70;-190
Oc1c(N(=O)=O)ccc2c1[nH]c(=[NH2])[nH]2;29/000000090;InChI=1S/C7H7N4O3/c8-7-9-3-1-2-4(11(13)14)6(12)5(3)10-7/h1-2,9-10,12H,8H2;C7H6N4O3;194;0.24;4.42;4.88;14.70;-40
O=Nc1c2c([nH]/c(=[NH]/CCO)/[nH]2)ccc1CC;29/000000151;InChI=1S/C11H15N4O2/c1-2-7-3-4-8-10(9(7)15-17)14-11(13-8)12-5-6-16/h3-4,12-14,16H,2,5-6H2,1H3/b12-11-;C11H14N4O2;234;0.45;4.00;4.75;16.10;-80
