scaffold;frequency;mean_zscore;shrunk_zscore
O=c1ocnc2cccc(C#CCc3ccc[nH]3)c12;1;0.8405;0.1838
O=c1ccc2ccccc2o1;1;-0.4218;-0.0922
C(=Cc1ccc2c(c1)NCO2)CCc1ccccn1;1;0.1932;0.0423
O=c1cccc(CC2=CCON2)o1;1;-0.9497;-0.2077
C(=Cc1ccc(-c2cccnc2)cc1)Cc1ncncn1;1;1.9813;0.4333
O=c1ccn(CCc2ccccc2)c(=O)[nH]1;1;-0.4219;-0.0923
O=c1ccnc[nH]1;1;-1.1241;-0.2458
C(=Cc1ccc(-c2cccnc2)cc1)Cc1cnon1;1;2.2382;0.4895
O=c1ccoc(CCc2ccc(-c3cc[nH]n3)cc2)c1;1;2.2098;0.4833
O=c1ccoc2ccccc12;1;0.4317;0.0944
O=c1nc(CCCC=Cc2cn[nH]n2)[nH]o1;1;-0.3222;-0.0705
O=c1ncc(COc2ccccc2)c[nH]1;1;0.4118;0.0901
O=c1ocnc2cccc(C#CCc3cccnc3)c12;1;1.0195;0.223
S=c1[nH]nc(CCc2ccccc2)[nH]1;1;2.6314;0.5755
O=c1ocnc2ccccc12;1;0.0541;0.0118
S=C(C1=CCN=C1)c1ccccc1;1;-0.9664;-0.2113
S=C(COCCc1cc[nH]c1)c1ccco1;1;-0.5619;-0.1229
S=C1CC(C#CCCc2ccccc2)CN1;1;1.2401;0.2712
C(=Cc1cc[nH]c1)CC1C=COC1;1;-0.6066;-0.1327
S=C1NCCN1CC=Cc1ncc[nH]1;1;-0.6766;-0.148
S=c1[nH]cc(CC=Cc2ccccc2)s1;1;-0.6148;-0.1344
S=c1[nH]cc(CCc2ccccc2)s1;1;1.3534;0.296
C(=CCc1ncc[nH]1)CCc1ccccc1;1;0.3457;0.0756
S=c1[nH]cnn1-c1ccccc1;1;0.0559;0.0122
S=c1[nH]nc(-c2ccccc2)[nH]1;1;0.3777;0.0826
C(=CCc1nccs1)Cc1cnco1;1;-0.4274;-0.0935
c1cc(CC2CCO2)on1;1;-1.2723;-0.2782
c1cc(-c2nc[nH]n2)ccn1;1;-0.0464;-0.0102
C(=CCc1ccno1)Cc1ccncc1;1;-0.447;-0.0978
C(=CCc1cnco1)CCc1nn[nH]n1;1;0.0548;0.012
c1cc(Cc2ccno2)c2[nH]cnc2c1;1;0.2544;0.0556
c1cc(Cc2cn3cnnc3cn2)ncn1;1;0.0089;0.0019
c1cc(Cc2cnc3[nH]ccc3c2)ncn1;1;1.6508;0.361
C(=CCc1cnco1)CCc1cnns1;1;-0.0778;-0.017
c1cc(Cc2nncs2)c2[nH]cnc2c1;1;0.0397;0.0087
c1cc(Nc2ccncn2)cc(-c2c[nH]cn2)c1;1;1.232;0.2694
